epoch,loss_validation,loss_train,f1,accuracy
1,2.273298611872292,2.2746184230033966,0.1355291510102177,0.1796663660955816
2,2.250491157092128,2.252145065571611,0.15783921138658302,0.2112263300270514
3,2.2256739440641944,2.2277397738677562,0.16500886112860957,0.22475202885482418
4,2.1997518649460797,2.2022619031148225,0.17973618272079422,0.2413210099188458
5,2.171817883108229,2.1747838388154404,0.18897257802263634,0.25236699729486023
6,2.141860741335937,2.145369121272906,0.20049183779060775,0.2639765554553652
7,2.1085453509032455,2.112752570780056,0.21333159967370338,0.2756988277727683
8,2.074717321767283,2.079507151384043,0.22805601255620997,0.2882100991884581
9,2.0407064532921146,2.046022944285579,0.24448815359126957,0.30173579801623085
10,2.0070939753860677,2.0129078073825064,0.2683249575449822,0.3204463480613165
11,1.9747396997254076,1.9809332085929583,0.28305786153398044,0.3322813345356177
12,1.9441356941663994,1.950583209577371,0.2999779205890982,0.34524346257889993
13,1.9159413365404132,1.9225121428889156,0.31565097289773514,0.35662759242560865
14,1.8897242138055481,1.896318912373158,0.3291720459051089,0.3658701532912534
15,1.8651292981738248,1.8716560331626315,0.3448529465219528,0.3765779981965735
16,1.8418273983858344,1.848202289485417,0.3587768522236997,0.38694770063119927
17,1.8193796505446125,1.8254533533144213,0.36866968805644945,0.3943868349864743
18,1.7974942839295573,1.803157541970466,0.37958641196855253,0.40284039675383226
19,1.7756896036549976,1.7810709191788487,0.38827436845052665,0.41005410279531107
20,1.754301073896363,1.7594045100164895,0.39596020382671865,0.4159152389540126
21,1.7331057222693718,1.7377354200905475,0.40811987724692367,0.42594679891794407
22,1.7120507863768513,1.7162625909203064,0.41804635276005947,0.43417493237150584
23,1.6909888657554997,1.6948376074975875,0.4296219007287035,0.443868349864743
24,1.6696871588714222,1.6731949856875898,0.4383599103127029,0.45142019837691616
25,1.648256283243512,1.6514528488255156,0.44729858812160767,0.4594229035166817
26,1.6265034356658816,1.62941341296178,0.45597726780907966,0.4670874661857529
27,1.6045703933562538,1.6072512568707071,0.4653948985949309,0.47587917042380523
28,1.5822840039600286,1.5847522319468974,0.4759719266725483,0.4856853020739405
29,1.5598569681228087,1.562118824712492,0.4839612347424893,0.4932371505861136
30,1.5370857707123007,1.5391551305401903,0.4918220630717454,0.5007889990982868
